step,score
903,-86.0
904,-88.0
905,-92.0
906,-199.0
907,-72.0
908,-97.0
909,-105.0
910,-141.0
911,-93.0
912,-140.0
913,-229.0
914,-134.0
915,-252.0
916,-114.0
917,-239.0
918,-174.0
919,-79.0
920,-114.0
921,-171.0
922,-216.0
923,-115.0
924,-112.0
925,-84.0
926,-153.0
927,-124.0
928,-93.0
929,-123.0
930,-98.0
931,-119.0
932,-112.0
933,-126.0
934,-219.0
935,-136.0
936,-116.0
937,-142.0
938,-136.0
939,-122.0
940,-147.0
941,-140.0
942,-102.0
943,-139.0
944,-177.0
945,-98.0
946,-82.0
947,-146.0
948,-128.0
949,-189.0
950,-135.0
951,-105.0
952,-169.0
953,-130.0
954,-127.0
955,-134.0
956,-114.0
957,-147.0
958,-103.0
959,-128.0
960,-167.0
961,-163.0
962,-177.0
963,-105.0
964,-100.0
965,-124.0
966,-154.0
967,-118.0
968,-139.0
969,-159.0
970,-202.0
971,-119.0
972,-103.0
973,-120.0
974,-128.0
975,-160.0
976,-144.0
977,-184.0
978,-86.0
979,-140.0
980,-120.0
981,-124.0
982,-173.0
983,-200.0
984,-193.0
985,-157.0
986,-153.0
987,-145.0
988,-211.0
989,-153.0
990,-94.0
991,-110.0
992,-167.0
993,-107.0
994,-81.0
995,-132.0
996,-109.0
997,-176.0
998,-148.0
999,-77.0
